Configuration,Angle_of_Attack_deg,Windspeed_mph,Lift_gf,Drag_gf
VG_Extended,0,15.41,97.80,2.74
VG_Extended,0,25.05,261.13,7.54
VG_Extended,0,34.00,482.27,13.80
VG_Extended,0,45.63,880.45,24.87
VG_Extended,0,57.26,1364.65,39.25
VG_Extended,0,65.76,1764.62,51.51
VG_Extended,10,15.41,498.12,7.49
VG_Extended,10,25.05,1372.33,19.68
VG_Extended,10,34.00,2490.96,37.54
VG_Extended,10,45.63,4402.03,66.92
VG_Extended,10,57.26,7006.27,108.92
VG_Extended,10,65.76,9138.09,142.96
VG_Extended,20,15.41,885.42,20.57
VG_Extended,20,25.05,2390.71,55.57
VG_Extended,20,34.00,4349.96,104.21
VG_Extended,20,45.63,7653.35,177.54
VG_Extended,20,57.26,12474.35,292.33
VG_Extended,20,65.76,16431.64,375.22
VG_Retracted,0,15.41,96.35,2.54
VG_Retracted,0,25.05,257.27,6.71
VG_Retracted,0,34.00,475.15,12.37
VG_Retracted,0,45.63,867.43,22.28
VG_Retracted,0,57.26,1344.49,35.08
VG_Retracted,0,65.76,1738.54,46.27
VG_Retracted,10,15.41,459.15,7.08
VG_Retracted,10,25.05,1265.03,18.54
VG_Retracted,10,34.00,2296.13,34.94
VG_Retracted,10,45.63,4058.45,62.82
VG_Retracted,10,57.26,6457.31,99.37
VG_Retracted,10,65.76,8423.83,134.87
VG_Retracted,20,15.41,820.18,22.73
VG_Retracted,20,25.05,2223.12,60.35
VG_Retracted,20,34.00,4026.55,113.05
VG_Retracted,20,45.63,7087.33,203.74
VG_Retracted,20,57.26,11568.38,322.09
VG_Retracted,20,65.76,15220.39,413.75
